"timestamp","value"
1739266675280,17
1739266690285,26
1739266705285,32
1739266720286,31
1739266735286,33
1739266750291,30
1739266765291,27
1739266780291,27
1739266795291,25
1739266810296,24
1739266825296,26
1739266840297,28
1739266855297,28
1739266870302,28
1739266885302,28
1739266900302,26
1739266915302,24
1739266930307,27
1739266945308,27
1739266960309,28
1739266975310,30
1739266990315,28
1739267005315,28
1739267020315,28
1739267035315,30
1739267050320,29
1739267065320,29
1739267080321,29
1739267095321,28
1739267110326,29
1739267125326,30
1739267140327,31
1739267155328,32
1739267170333,31
1739267185333,31
1739267200334,28
1739267215334,27
1739267230339,26
1739267245339,25
1739267260340,28
1739267275341,29
1739267290346,31
1739267305346,32
1739267320346,30
1739267335346,31
1739267350351,31
1739267365351,31
1739267380352,33
1739267395353,32
1739267410358,35
1739267425358,33
1739267440358,29
1739267455358,29
1739267470362,29
1739267485362,32
1739267500362,37
1739267515362,36
1739267530367,34
1739267545367,34
1739267560367,31
1739267575367,31
1739267590372,30
1739267605373,29
1739267620374,30
1739267635375,32
1739267650380,35
1739267665380,35
1739267680381,35
1739267695382,35
1739267710387,31
1739267725388,29
1739267740389,28
1739267755390,27
1739267770395,31
1739267785395,34
1739267800396,36
1739267815396,37
1739267830401,35
1739267845402,32
1739267860403,31
1739267875404,30
1739267890409,29
1739267905409,33
1739267920410,33
1739267935411,37
1739267950416,41
1739267965417,39
1739267980418,44
1739267995419,43
1739268010424,40
1739268025424,42
1739268040425,39
1739268055425,40
1739268070430,43
1739268085430,41
1739268100430,40
1739268115430,38
1739268130435,36
1739268145435,40
1739268160436,39
1739268175436,40
1739268190441,41
1739268205441,42
1739268220442,43
1739268235443,44
1739268250448,45
1739268265448,42
1739268280449,44
1739268295450,42
1739268310455,40
1739268325455,39
1739268340456,37
1739268355456,34
1739268370461,35
1739268385461,35
1739268400461,33
1739268415461,36
1739268430466,36
1739268445466,35
1739268460467,38
1739268475467,36
1739268490472,37
1739268505472,35
1739268520473,33
1739268535473,33
1739268550478,33
1739268565478,35
1739268580479,35
1739268595479,37
1739268610484,36
1739268625484,39
1739268640485,43
1739268655486,45
1739268670491,41
1739268685491,39
1739268700492,34
1739268715492,31
1739268730497,34
1739268745498,32
1739268760499,32
1739268775500,31
1739268790505,35
1739268805505,37
1739268820506,39
1739268835507,40
1739268850512,36
1739268865512,35
1739268880513,34
1739268895514,35
1739268910519,35
1739268925519,36
1739268940519,37
1739268955519,36
1739268970524,36
1739268985524,35
1739269000525,33
1739269015526,31
1739269030531,31
1739269045531,30
1739269060531,32
1739269075531,38
1739269090536,38
1739269105536,43
1739269120537,46
1739269135537,41
1739269150542,40
1739269165543,39
1739269180544,35
1739269195545,33
1739269210550,35
1739269225550,31
1739269240551,34
1739269255551,35
1739269270556,31
1739269285556,32
1739269300556,28
1739269315556,30
1739269330561,35
1739269345561,32
1739269360562,35
1739269375563,34
1739269390568,30
1739269405568,34
1739269420569,33
1739269435569,33
1739269450574,34
1739269465575,31
1739269480576,30
1739269495577,30
1739269510582,30
1739269525582,31
1739269540583,29
1739269555584,29
1739269570589,29
1739269585590,32
1739269600591,33
1739269615592,31
1739269630597,29
1739269645597,26
1739269660597,29
1739269675597,30
1739269690602,30
1739269705602,30
1739269720603,27
1739269735603,28
1739269750608,28
1739269765608,30
1739269780608,33
1739269795608,32
1739269810613,30
1739269825613,27
1739269840614,27
1739269855615,25
1739269870620,28
1739269885620,31
1739269900620,29
1739269915620,32
1739269930625,33
1739269930625,33
1739269945625,33
1739269945625,33
1739269960626,35
1739269960626,35
1739269975626,36
1739269975626,36
1739269990631,38
1739270005631,36
1739270020632,36
1739270035632,36
1739270050637,35
1739270065638,39
1739270080639,36
1739270095640,36
1739270110645,37
1739270125645,36
1739270140646,37
1739270155647,36
1739270170652,32
1739270185652,31
1739270200653,31
1739270215654,31
1739270230659,38
1739270245659,39
1739270260660,42
1739270275660,44
1739270290665,42
1739270305665,43
1739270320666,44
1739270335667,42
1739270350672,39
1739270365673,32
1739270380674,28
1739270395675,26
1739270410681,25
1739270425681,30
1739270440682,31
1739270455683,36
1739270470688,38
1739270470688,38
1739270485688,37
1739270485688,37
1739270500688,35
1739270500688,35
1739270515688,31
1739270515688,31
1739270530693,31
1739270545693,35
1739270560693,39
1739270575693,41
1739270590698,43
1739270605698,41
1739270620698,37
1739270635698,38
1739270650703,36
1739270665703,34
1739270680703,34
1739270695703,32
1739270710708,31
1739270710708,31
1739270722708,27
1739270722708,27
1739270734709,27
1739270734709,27
1739270746709,26
1739270746709,26
1739270758710,24
1739270758710,24
1739270770715,27
1739270785715,28
1739270800716,25
1739270815716,23
1739270830721,19
1739270845722,17
1739270860723,20
1739270875724,25
1739270890729,29
1739270905729,29
1739270920729,28
1739270935729,27
